text,label
Several social posts alleged unspecified issues with community safety plans.,FAKE
A spokesperson discussed ongoing matters related to technology upgrades during a briefing.,REAL
Unverified online claims suggested education reforms happened recently.,FAKE
Rumors circulated online regarding unexpected events in education reforms.,FAKE
Authorities confirmed routine evaluations about transportation systems.,REAL
A spokesperson discussed ongoing matters related to research initiatives during a briefing.,REAL
A spokesperson discussed ongoing matters related to economic guidelines during a briefing.,REAL
Authorities confirmed routine evaluations about economic guidelines.,REAL
Misleading posts described unusual activity involving education reforms.,FAKE
Rumors circulated online regarding unexpected events in technology upgrades.,FAKE
Rumors circulated online regarding unexpected events in technology upgrades.,FAKE
Unverified online claims suggested technology upgrades happened recently.,FAKE
Reports indicate continued progress in transportation systems this week.,REAL
Misleading posts described unusual activity involving energy regulations.,FAKE
Reports indicate continued progress in energy regulations this week.,REAL
Authorities confirmed routine evaluations about technology upgrades.,REAL
Blogs repeated unconfirmed information concerning public health programs.,FAKE
Misleading posts described unusual activity involving public health programs.,FAKE
Authorities confirmed routine evaluations about transportation systems.,REAL
Rumors circulated online regarding unexpected events in environmental policies.,FAKE
Unverified online claims suggested education reforms happened recently.,FAKE
Blogs repeated unconfirmed information concerning community safety plans.,FAKE
Blogs repeated unconfirmed information concerning energy regulations.,FAKE
Experts stated that recent developments in education reforms are being monitored.,REAL
A spokesperson discussed ongoing matters related to technology upgrades during a briefing.,REAL
Officials reported new updates regarding energy regulations earlier today.,REAL
Blogs repeated unconfirmed information concerning education reforms.,FAKE
Unverified online claims suggested transportation systems happened recently.,FAKE
Reports indicate continued progress in research initiatives this week.,REAL
Unverified online claims suggested environmental policies happened recently.,FAKE
A spokesperson discussed ongoing matters related to education reforms during a briefing.,REAL
Rumors circulated online regarding unexpected events in public health programs.,FAKE
Experts stated that recent developments in infrastructure projects are being monitored.,REAL
Unverified online claims suggested education reforms happened recently.,FAKE
Unverified online claims suggested public health programs happened recently.,FAKE
Blogs repeated unconfirmed information concerning technology upgrades.,FAKE
Officials reported new updates regarding public health programs earlier today.,REAL
Officials reported new updates regarding environmental policies earlier today.,REAL
Blogs repeated unconfirmed information concerning community safety plans.,FAKE
Several social posts alleged unspecified issues with environmental policies.,FAKE
Reports indicate continued progress in infrastructure projects this week.,REAL
Several social posts alleged unspecified issues with energy regulations.,FAKE
Experts stated that recent developments in research initiatives are being monitored.,REAL
Reports indicate continued progress in community safety plans this week.,REAL
Several social posts alleged unspecified issues with energy regulations.,FAKE
Rumors circulated online regarding unexpected events in infrastructure projects.,FAKE
A spokesperson discussed ongoing matters related to transportation systems during a briefing.,REAL
Authorities confirmed routine evaluations about transportation systems.,REAL
Misleading posts described unusual activity involving economic guidelines.,FAKE
Experts stated that recent developments in energy regulations are being monitored.,REAL
Blogs repeated unconfirmed information concerning transportation systems.,FAKE
Blogs repeated unconfirmed information concerning community safety plans.,FAKE
Unverified online claims suggested education reforms happened recently.,FAKE
A spokesperson discussed ongoing matters related to education reforms during a briefing.,REAL
Experts stated that recent developments in environmental policies are being monitored.,REAL
Unverified online claims suggested transportation systems happened recently.,FAKE
Officials reported new updates regarding infrastructure projects earlier today.,REAL
Officials reported new updates regarding environmental policies earlier today.,REAL
A spokesperson discussed ongoing matters related to infrastructure projects during a briefing.,REAL
Reports indicate continued progress in energy regulations this week.,REAL
Unverified online claims suggested community safety plans happened recently.,FAKE
Reports indicate continued progress in environmental policies this week.,REAL
Authorities confirmed routine evaluations about public health programs.,REAL
Unverified online claims suggested public health programs happened recently.,FAKE
Reports indicate continued progress in energy regulations this week.,REAL
Authorities confirmed routine evaluations about transportation systems.,REAL
Experts stated that recent developments in education reforms are being monitored.,REAL
Authorities confirmed routine evaluations about education reforms.,REAL
A spokesperson discussed ongoing matters related to economic guidelines during a briefing.,REAL
Unverified online claims suggested education reforms happened recently.,FAKE
Reports indicate continued progress in environmental policies this week.,REAL
Unverified online claims suggested education reforms happened recently.,FAKE
Officials reported new updates regarding public health programs earlier today.,REAL
A spokesperson discussed ongoing matters related to infrastructure projects during a briefing.,REAL
Several social posts alleged unspecified issues with technology upgrades.,FAKE
Reports indicate continued progress in community safety plans this week.,REAL
Authorities confirmed routine evaluations about economic guidelines.,REAL
Several social posts alleged unspecified issues with technology upgrades.,FAKE
Authorities confirmed routine evaluations about environmental policies.,REAL
Experts stated that recent developments in energy regulations are being monitored.,REAL
Experts stated that recent developments in environmental policies are being monitored.,REAL
Several social posts alleged unspecified issues with research initiatives.,FAKE
Blogs repeated unconfirmed information concerning infrastructure projects.,FAKE
Authorities confirmed routine evaluations about infrastructure projects.,REAL
Authorities confirmed routine evaluations about energy regulations.,REAL
Reports indicate continued progress in education reforms this week.,REAL
Several social posts alleged unspecified issues with environmental policies.,FAKE
Blogs repeated unconfirmed information concerning community safety plans.,FAKE
Rumors circulated online regarding unexpected events in public health programs.,FAKE
Authorities confirmed routine evaluations about infrastructure projects.,REAL
Authorities confirmed routine evaluations about economic guidelines.,REAL
Authorities confirmed routine evaluations about education reforms.,REAL
Misleading posts described unusual activity involving environmental policies.,FAKE
Unverified online claims suggested technology upgrades happened recently.,FAKE
Misleading posts described unusual activity involving environmental policies.,FAKE
Blogs repeated unconfirmed information concerning community safety plans.,FAKE
Misleading posts described unusual activity involving technology upgrades.,FAKE
Unverified online claims suggested technology upgrades happened recently.,FAKE
Experts stated that recent developments in environmental policies are being monitored.,REAL
Blogs repeated unconfirmed information concerning energy regulations.,FAKE
Unverified online claims suggested economic guidelines happened recently.,FAKE
Officials reported new updates regarding education reforms earlier today.,REAL
Unverified online claims suggested education reforms happened recently.,FAKE
Unverified online claims suggested community safety plans happened recently.,FAKE
Reports indicate continued progress in infrastructure projects this week.,REAL
Rumors circulated online regarding unexpected events in technology upgrades.,FAKE
Experts stated that recent developments in transportation systems are being monitored.,REAL
A spokesperson discussed ongoing matters related to technology upgrades during a briefing.,REAL
Reports indicate continued progress in technology upgrades this week.,REAL
Authorities confirmed routine evaluations about energy regulations.,REAL
Blogs repeated unconfirmed information concerning technology upgrades.,FAKE
Authorities confirmed routine evaluations about public health programs.,REAL
A spokesperson discussed ongoing matters related to education reforms during a briefing.,REAL
Authorities confirmed routine evaluations about environmental policies.,REAL
